                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0022,                  3.279,                 3.9674,                0.03085,                0.08789,                0.01583,                0.00368,                 3.2213,                 7.3236,                 4.2139,             0.00066237,             0.00066237,             0.00066237
                      2,                 2.5261,                 2.7824,                 3.1274,                0.28344,                0.41493,                0.23502,                0.07371,                 2.1756,                 5.1459,                 3.0432,              0.0013159,              0.0013159,              0.0013159
                      3,                 2.0186,                 2.2421,                 2.5781,                0.46636,                 0.5099,                0.37845,                0.14477,                 1.9197,                 2.5743,                  2.799,              0.0019562,              0.0019562,              0.0019562
                      4,                 1.7829,                 1.9581,                 2.3071,                0.64736,                0.47601,                0.55833,                0.27991,                  1.755,                 1.9756,                 2.5982,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.6498,                 1.7575,                 2.1621,                0.70237,                0.62302,                0.66322,                0.29817,                 1.7887,                 1.7376,                 2.5681,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.5596,                 1.6308,                 2.0604,                0.76261,                0.57229,                0.60761,                0.30379,                 1.8163,                 1.8895,                 2.9898,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.5428,                 1.5613,                 2.0417,                0.82186,                0.63301,                0.70921,                0.37284,                 1.5765,                 1.6038,                 2.3256,               0.001901,               0.001901,               0.001901
                      8,                 1.4867,                 1.4904,                 1.9751,                 0.7251,                0.60684,                0.69139,                0.33498,                 1.7197,                 1.6784,                 2.4048,              0.0018812,              0.0018812,              0.0018812
                      9,                  1.434,                  1.428,                 1.9283,                0.82276,                0.64475,                0.72809,                0.39179,                 1.5888,                 1.3892,                 2.4259,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.4083,                 1.4041,                 1.9016,                0.83278,                0.70446,                0.78616,                0.42825,                 1.5109,                 1.3819,                 2.2358,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.4297,                 1.3811,                 1.9067,                0.81045,                 0.7001,                 0.8002,                0.45531,                 1.4813,                 1.3119,                 2.1483,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.3789,                 1.3247,                 1.8668,                0.83425,                0.71587,                0.80709,                0.47046,                  1.448,                 1.2389,                 2.1415,               0.001802,               0.001802,               0.001802
